transaction_id,customer_id,transaction_datetime,transaction_amount,merchant_category,location,transaction_type,last_transaction_datetime,days_since_last_txn,location_freq_for_customer,is_night_transaction,transaction_week,weekly_txn_count,transaction_amount_log,anomaly_score,anomaly_rate
TXN_004512,CUST_00001,2025-02-14 04:48:00,260.38,2.0,UK,2.0,2025-02-13 19:38:00,0.0,6,1,2025-02-10,2,5.5659752871688895,1,0.04285126621346713
TXN_009152,CUST_00001,2025-02-26 15:48:00,30.35,4.0,USA,1.0,2025-02-14 04:48:00,12.0,6,0,2025-02-24,1,3.4452142670789296,1,0.20612046393381867
TXN_005759,CUST_00001,2025-03-31 08:30:00,14.23,5.0,Canada,1.0,2025-02-26 15:48:00,32.0,7,0,2025-03-31,1,2.7232671669070703,1,0.1650124622452584
TXN_001586,CUST_00001,2025-04-28 22:34:00,12.89,2.0,USA,1.0,2025-03-31 08:30:00,28.0,6,0,2025-04-28,1,2.6311691567662523,1,0.1858288049385377
TXN_008816,CUST_00001,2025-05-13 01:35:00,59.61,2.0,Canada,2.0,2025-04-28 22:34:00,14.0,7,1,2025-05-12,3,4.104459895963194,1,0.027686947330521683
TXN_017157,CUST_00001,2025-05-14 19:38:00,2.09,0.0,Russia,3.0,2025-05-13 01:35:00,1.0,6,0,2025-05-12,3,1.128171090909654,-1,-0.00869990179011515
TXN_014512,CUST_00001,2025-05-15 04:48:00,260.38,2.0,Germany,1.0,2025-05-14 19:38:00,0.0,3,1,2025-05-12,3,5.5659752871688895,1,0.01550942105950226
TXN_019152,CUST_00001,2025-05-27 15:48:00,30.35,4.0,Canada,1.0,2025-05-15 04:48:00,12.0,7,0,2025-05-26,1,3.4452142670789296,1,0.19371400154824236
TXN_015759,CUST_00001,2025-06-29 08:30:00,14.23,5.0,USA,0.0,2025-05-27 15:48:00,32.0,6,0,2025-06-23,1,2.7232671669070703,1,0.14033708945932777
TXN_011586,CUST_00001,2025-07-27 22:34:00,12.89,2.0,UK,2.0,2025-06-29 08:30:00,28.0,6,0,2025-07-21,1,2.6311691567662523,1,0.1750116220636408
TXN_009498,CUST_00001,2025-08-10 13:51:00,21.63,1.0,Russia,1.0,2025-07-27 22:34:00,13.0,6,0,2025-08-04,1,3.119276459645446,1,0.18954487603120757
